link,name,Crossing,Finishing,Heading accuracy,Short passing,Volleys,Dribbling,Curve,Free kick accuracy,Long passing,Ball control,Acceleration,Sprint speed,Agility,Reactions,Balance,Shot power,Jumping,Stamina,Strength,Long shots,Aggression,Interceptions,Positioning,Vision,Penalties,Composure,Marking,Standing tackle,Sliding tackle,GK diving,GK handling,GK kicking,GK positioning,GK reflexes
http://sofifa.com/player/203042,Jack Butland,11,16,12,36,12,21,12,14,40,26,38,43,48,73,35,29,61,35,63,13,32,27,16,31,42,59,16,13,11,81,83,72,78,85
http://sofifa.com/player/54050,Wayne Rooney,77,81,75,1,84,73,84,81,82,80,67,68,70,83,77,86,76,78,83,80,81,54,79,1,84,88,48,51,37,10,11,13,8,7
http://sofifa.com/player/163631,Leighton Baines,86,63,74,79,63,78,81,81,74,80,72,68,74,82,84,84,71,81,64,71,74,79,73,76,90,81,78,81,78,8,15,10,13,12
http://sofifa.com/player/169595,Danny Rose,81,57,62,76,64,79,64,57,66,76,80,80,72,82,76,72,75,80,74,69,87,81,68,73,57,75,82,84,85,10,11,8,13,13
http://sofifa.com/player/194957,Phil Jones,64,50,78,75,60,60,38,35,67,68,60,65,54,80,61,68,83,75,81,59,85,83,42,59,55,72,79,81,82,10,8,6,16,11
http://sofifa.com/player/183711,Jordan Henderson,81,67,65,85,72,74,80,74,83,80,73,71,73,79,71,75,81,93,76,71,77,79,76,82,64,78,73,78,76,7,13,7,9,13
http://sofifa.com/player/189881,Chris Smalling,52,50,83,66,54,59,49,22,63,58,69,75,60,78,48,42,75,77,87,35,83,79,48,49,52,71,80,82,80,10,15,16,15,15
http://sofifa.com/player/208830,Jamie Vardy,63,83,67,66,75,76,59,48,48,76,91,91,77,86,77,85,74,88,68,67,92,49,84,72,76,79,48,52,51,15,14,7,15,11
http://sofifa.com/player/163264,Tom Heaton,17,12,16,32,12,17,15,13,37,28,56,53,54,74,52,14,73,40,66,12,31,24,12,46,24,56,15,15,13,80,79,76,80,83
http://sofifa.com/player/207599,Michael Keane,60,50,84,74,40,66,53,33,71,71,73,72,63,76,64,58,83,79,87,46,68,80,29,56,48,75,83,82,80,16,7,8,14,11
http://sofifa.com/player/190456,Nathaniel Clyne,79,54,67,77,45,76,64,39,67,76,82,83,83,73,76,74,69,84,71,69,76,79,72,64,46,75,81,83,86,10,11,13,15,7
http://sofifa.com/player/231677,Marcus Rashford,77,79,72,76,72,84,74,78,65,80,93,92,90,78,78,84,63,83,73,70,67,42,81,75,74,74,29,37,33,11,6,15,7,14
http://sofifa.com/player/186146,Danny Welbeck,69,75,75,76,76,80,61,62,64,78,83,84,82,78,63,77,80,81,78,69,75,32,80,72,70,76,28,38,33,9,10,6,12,16
http://sofifa.com/player/203574,John Stones,62,29,77,80,27,69,47,29,72,77,71,71,64,75,58,46,73,79,79,38,75,77,48,64,37,79,80,83,81,7,15,11,10,8
http://sofifa.com/player/50542,Jermain Defoe,54,87,66,68,82,78,63,68,43,77,77,71,83,81,88,88,74,72,61,80,62,19,87,66,74,84,24,20,11,7,14,8,10,13
http://sofifa.com/player/21146,Michael Carrick,72,59,71,87,67,71,68,59,85,79,43,44,58,85,62,78,72,65,66,64,64,81,66,83,64,88,73,76,70,13,12,11,15,9
http://sofifa.com/player/53914,Phil Jagielka,55,30,79,71,44,49,55,31,66,62,47,52,51,74,62,69,83,71,79,54,79,81,51,39,64,76,81,84,81,32,33,38,32,34
http://sofifa.com/player/138412,James Milner,85,66,69,84,76,77,81,77,81,78,69,66,72,84,73,85,64,91,73,72,79,76,75,77,83,86,76,77,79,1,1,1,1,1
http://sofifa.com/player/150724,Joe Hart,14,14,10,32,19,23,17,13,35,20,56,60,50,1,32,40,69,28,61,19,31,25,14,42,30,60,14,14,13,1,77,73,2,1
